,text
54,"['sign', 'two', 'piec', 'major', 'legisl', 'week', 'crimin', 'justic', 'reform', 'farm', 'bill', 'two', 'big', 'deal', 'fake', 'news', 'media', 'want', 'talk', 'mistak', 'bring', 'young', 'peopl', 'back', 'home', 'never', 'end', 'war', 'began', 'year', 'ago']"
55,"['unthink', 'devast', 'tsunami', 'disast', 'indonesia', 'two', 'hundr', 'dead', 'nearli', 'thousand', 'injur', 'unaccount', 'pray', 'recoveri', 'heal', 'america']"
56,"['long', 'product', 'call', 'presid', 'erdogan', 'turkey', 'discuss', 'isi', 'mutual', 'involv', 'syria', 'amp', 'slow', 'amp', 'highli', 'coordin', 'pullout', 'u', 'troop', 'area', 'mani', 'year', 'come', 'home', 'also', 'discuss', 'heavili', 'expand', 'trade']"
57,"['pleas', 'announc', 'talent', 'deputi', 'secretari', 'defens', 'patrick', 'shanahan', 'assum', 'titl', 'act', 'secretari', 'defens', 'start', 'januari', 'patrick', 'long', 'list', 'accomplish', 'serv', 'deputi', 'amp', 'previous', 'boe', 'great']"
58,"['way', 'stop', 'drug', 'gang', 'human', 'traffick', 'crimin', 'element', 'much', 'els', 'come', 'countri', 'wall', 'barrier', 'drone', 'rest', 'wonder', 'lot', 'fun', 'good', 'old', 'fashion', 'wall', 'work']"
59,"['presid', 'obama', 'inglori', 'fire', 'jim', 'matti', 'gave', 'second', 'chanc', 'thought', 'thought', 'interest', 'relationship', 'also', 'gave', 'resourc', 'never', 'realli', 'alli', 'import', 'take', 'advantag', 'u']"
60,"['anybodi', 'favorit', 'presid', 'donald', 'j', 'trump', 'announc', 'decim', 'isi', 'syria', 'go', 'bring', 'troop', 'back', 'home', 'happi', 'amp', 'healthi', 'person', 'would', 'popular', 'hero', 'america', 'hit', 'hard', 'instead', 'fake', 'news', 'media', 'crazi']"
61,"['brett', 'mcgurk', 'know', 'appoint', 'presid', 'obama', 'suppos', 'leav', 'februari', 'resign', 'prior', 'leav', 'grandstand', 'fake', 'news', 'make', 'big', 'deal', 'noth', 'event']"
62,"['go', 'florida', 'shutdown', 'stay', 'white', 'hous', 'maga']"
63,"['senat', 'adjourn', 'decemb', 'th']"
64,"['elect', 'said', 'one', 'greatest', 'time', 'base', 'get', 'endless', 'amp', 'costli', 'foreign', 'war', 'amp', 'also', 'base', 'strong', 'border', 'keep', 'countri', 'safe', 'fight', 'border', 'countri', 'fight', 'border']"
65,"['crisi', 'illeg', 'activ', 'southern', 'border', 'real', 'stop', 'build', 'great', 'steel', 'barrier', 'wall', 'let', 'work', 'begin']"
66,"['lunch', 'white', 'hous', 'resid', 'larg', 'group', 'concern', 'border', 'secur']"
67,"['go', 'three', 'month', 'seven', 'year', 'ago', 'never', 'left', 'becam', 'presid', 'isi', 'go', 'wild', 'isi', 'larg', 'defeat', 'local', 'countri', 'includ', 'turkey', 'abl', 'easili', 'take', 'care', 'whatev', 'remain', 'come', 'home']"
68,"['white', 'hous', 'work', 'hard', 'news', 'report', 'concern', 'shutdown', 'syria', 'mostli', 'fake', 'negoti', 'democrat', 'desper', 'need', 'border', 'secur', 'gang', 'drug', 'human', 'traffick', 'amp', 'could', 'long', 'stay', 'syria', 'origin']"
70,"['great', 'countri', 'must', 'border', 'secur']"
71,"['wish', 'suprem', 'court', 'justic', 'ruth', 'bader', 'ginsburg', 'full', 'speedi', 'recoveri']"
72,"['mani', 'bill', 'sign', 'oval', 'offic', 'right', 'cancel', 'trip', 'air', 'forc', 'one', 'florida', 'wait', 'see', 'democrat', 'help', 'us', 'protect', 'america', 'southern', 'border']"
73,"['design', 'steel', 'slat', 'barrier', 'total', 'effect', 'time', 'beauti']"
74,"['today', 'honor', 'sign', 'law', 'h', 'r', 'counter', 'weapon', 'mass', 'destruct', 'act', 'act', 'redesign', 'domest', 'nuclear', 'detect', 'offic', 'counter', 'weapon', 'mass', 'destruct', 'offic', 'read']"
75,"['today', 'great', 'honor', 'sign', 'firststepact', 'monument', 'bi', 'partisan', 'win', 'american', 'peopl']"
76,"['done', 'damag', 'isi', 'recent', 'presid', 'even', 'close']"
77,"['democrat', 'shutdown']"
78,"['gener', 'anthoni', 'tata', 'author', 'dark', 'winter', 'think', 'presid', 'make', 'exact', 'right', 'move', 'syria', 'genius', 'protest', 'withdraw', 'troop', 'syria', 'genius', 'cook', 'book', 'isi', 'intellig', 'gave', 'rise', 'isi']"
79,"['never', 'presid', 'tougher', 'fair', 'china', 'russia', 'never', 'look', 'fact', 'fake', 'news', 'tri', 'hard', 'paint', 'opposit', 'pictur']"
80,"['thank', 'will', 'go', 'call', 'nuclear', 'option', 'order', 'win', 'desper', 'need', 'border', 'secur', 'total', 'support']"
81,"['mitch', 'use', 'nuclear', 'option', 'get', 'done', 'countri', 'count']"
82,"['even', 'presid', 'ronald', 'reagan', 'tri', 'year', 'build', 'border', 'wall', 'fenc', 'unabl', 'other', 'also', 'tri', 'get', 'done', 'one', 'way']"
83,"['shutdown', 'today', 'democrat', 'vote', 'border', 'secur']"
84,"['hous', 'republican', 'vote']"
85,"['democrat', 'whose', 'vote', 'need', 'senat', 'probabl', 'vote', 'border', 'secur', 'wall', 'even', 'though', 'know', 'desper', 'need', 'dem', 'vote', 'shutdown', 'last', 'long', 'time', 'peopl', 'want', 'open', 'border', 'crime']"
86,"['matter', 'happen', 'today', 'senat', 'republican', 'hous', 'member', 'proud', 'flew', 'back', 'washington', 'part', 'world', 'order', 'vote', 'border', 'secur', 'wall', 'one', 'democrat', 'vote', 'ye', 'big', 'proud']"
87,"['border', 'effect', 'conjunct', 'wall', 'properli', 'design', 'built', 'wall', 'work', 'democrat', 'lie', 'say', 'israel', 'wall', 'success', 'differ', 'southern', 'border', 'hundr', 'billion', 'save']"
88,"['democrat', 'tri', 'belittl', 'concept', 'wall', 'call', 'old', 'fashion', 'fact', 'noth', 'els', 'work', 'true', 'thousand', 'year', 'like', 'wheel', 'noth', 'better', 'know', 'tech', 'better', 'anyon', 'amp', 'technolog']"
89,"['senat', 'mitch', 'mcconnel', 'fight', 'wall', 'border', 'secur', 'hard', 'fought', 'anyth', 'need', 'democrat', 'vote', 'shown', 'hous', 'good', 'thing', 'happen', 'enough', 'dem', 'vote', 'democrat', 'shutdown', 'hous', 'republican', 'great', 'yesterday']"
90,"['soon', 'speaker', 'nanci', 'pelosi', 'said', 'last', 'week', 'live', 'oval', 'offic', 'republican', 'vote', 'border', 'secur', 'today', 'hous', 'republican', 'vote', 'nanci', 'apolog', 'want', 'great', 'border', 'secur']"
91,"['thank', 'great', 'republican', 'member', 'congress', 'vote', 'fund', 'border', 'secur', 'wall', 'final', 'number', 'mani', 'said', 'enthusiasm', 'greater', 'ever', 'seen', 'proud', 'senat']"
92,"['gener', 'jim', 'matti', 'retir', 'distinct', 'end', 'februari', 'serv', 'administr', 'secretari', 'defens', 'past', 'two', 'year', 'jim', 'tenur', 'tremend', 'progress', 'made', 'especi', 'respect', 'purchas', 'new', 'fight']"
93,"['equip', 'gener', 'matti', 'great', 'help', 'get', 'alli', 'countri', 'pay', 'share', 'militari', 'oblig', 'new', 'secretari', 'defens', 'name', 'shortli', 'greatli', 'thank', 'jim', 'servic']"
94,"['democrat', 'time', 'come', 'togeth', 'put', 'safeti', 'american', 'peopl', 'polit', 'border', 'secur', 'must', 'becom', 'prioriti']"
95,"['farm', 'bill', 'sign', 'minut', 'emmi', 'tbt']"
