,is_retweet,text
41,False,"['sympathizers', 'brett', 'mcgurk', 'remember', 'obama', 'appointee', 'responsible', 'loading', 'airplanes', '1', '8', 'billion', 'dollars', 'cash', 'amp', 'sending', 'iran', 'part', 'horrific', 'iran', 'nuclear', 'deal', 'terminated', 'approved', 'little', 'bob', 'corker']"
42,False,"['substantially', 'subsidizing', 'militaries', 'many', 'rich', 'countries', 'world', 'time', 'countries', 'take', 'total', 'advantage', 'u', 'taxpayers', 'trade', 'general', 'mattis', 'see', 'problem', 'fixed']"
43,False,"['senators', 'think', 'like', 'appreciate', 'allied', 'countries', 'wrong', 'like', 'however', 'many', 'countries', 'take', 'advantage', 'friendship', 'united', 'states', 'military', 'protection', 'trade']"
44,False,"['virtually', 'every', 'democrat', 'dealing', 'today', 'strongly', 'supported', 'border', 'wall', 'fence', 'made', 'important', 'part', 'campaign', 'people', 'drugs', 'pouring', 'country', 'unchecked', 'turned', 'desperately', 'needed']"
45,False,"['president', 'erdogan', 'turkey', 'strongly', 'informed', 'eradicate', 'whatever', 'left', 'isis', 'syria', 'man', 'plus', 'turkey', 'right', 'next', 'door', 'troops', 'coming', 'home']"
46,False,"['president', 'remarkable', 'doubt', 'thrive', 'new', 'environment', 'constant', 'reminder', 'populism', 'thank', 'tammy', 'bruce', 'steve', 'hilton', 'presidential', 'harassment', 'beginning']"
47,False,"['important', 'way', 'stop', 'gangs', 'drugs', 'human', 'trafficking', 'massive', 'crime', 'southern', 'border', 'need', 'border', 'security', 'everyone', 'knows', 'border', 'security', 'without', 'wall', 'drones', 'amp', 'technology', 'bells', 'whistles', 'safety', 'america']"
48,False,"['mitch', 'mcconnell', 'told', 'group', 'people', 'u', 'senate', '32', 'years', 'last', 'two', 'far', 'best', 'amp', 'productive', 'career', 'tax', 'amp', 'regulation', 'cuts', 'va', 'choice', 'farm', 'bill', 'criminal', 'justice', 'reform', 'judgeships', 'amp', 'much', 'great']"
49,False,"['job', 'america', 'replace', 'regimes', 'around', 'world', 'president', 'trump', 'recognized', 'iraq', 'biggest', 'foreign', 'policy', 'disaster', 'last', 'several', 'decades', 'right', 'generals', 'still', 'get', 'mistake']"
50,True,"['rt', 'bp252', 'usbp', 'agents', 'continue', 'diligently', 'sworn', 'duites', 'holidays', 'furlough', 'like', 'every', 'oth']"
51,False,"['thanks', 'proud', 'president', 'exactly', 'promised', 'think', 'people', 'agree', 'war', 'long', 'many', 'places', 'spent', 'several', 'trillion', 'dollars', 'wars', 'everywhere', 'different', 'got', 'elected']"
52,False,"['bob', 'corker', 'responsible', 'giving', 'us', 'horrible', 'iran', 'nuclear', 'deal', 'ended', 'yet', 'badmouths', 'wanting', 'bring', 'young', 'people', 'safely', 'back', 'home', 'bob', 'wanted', 'run', 'asked', 'endorsement', 'said', 'game', 'maga', 'love', 'tennessee']"
53,False,"['senator', 'bob', 'corker', 'stated', 'priveledged', 'serve', 'senate', 'twelve', 'years', 'told', 'people', 'state', 'serve', 'two', 'terms', 'true', 'wanted', 'run', 'poll', 'numbers', 'tanked', 'endorse']"
54,False,"['signed', 'two', 'pieces', 'major', 'legislation', 'week', 'criminal', 'justice', 'reform', 'farm', 'bill', 'two', 'big', 'deals', 'fake', 'news', 'media', 'wants', 'talk', 'mistake', 'bringing', 'young', 'people', 'back', 'home', 'never', 'ending', 'wars', 'began', '19', 'years', 'ago']"
55,False,"['unthinkable', 'devastation', 'tsunami', 'disaster', 'indonesia', 'two', 'hundred', 'dead', 'nearly', 'thousand', 'injured', 'unaccounted', 'praying', 'recovery', 'healing', 'america']"
56,False,"['long', 'productive', 'call', 'president', 'erdogan', 'turkey', 'discussed', 'isis', 'mutual', 'involvement', 'syria', 'amp', 'slow', 'amp', 'highly', 'coordinated', 'pullout', 'u', 'troops', 'area', 'many', 'years', 'coming', 'home', 'also', 'discussed', 'heavily', 'expanded', 'trade']"
57,False,"['pleased', 'announce', 'talented', 'deputy', 'secretary', 'defense', 'patrick', 'shanahan', 'assume', 'title', 'acting', 'secretary', 'defense', 'starting', 'january', '1', '2019', 'patrick', 'long', 'list', 'accomplishments', 'serving', 'deputy', 'amp', 'previously', 'boeing', 'great']"
58,False,"['way', 'stop', 'drugs', 'gangs', 'human', 'trafficking', 'criminal', 'elements', 'much', 'else', 'coming', 'country', 'wall', 'barrier', 'drones', 'rest', 'wonderful', 'lots', 'fun', 'good', 'old', 'fashioned', 'wall', 'works']"
59,False,"['president', 'obama', 'ingloriously', 'fired', 'jim', 'mattis', 'gave', 'second', 'chance', 'thought', 'thought', 'interesting', 'relationship', 'also', 'gave', 'resources', 'never', 'really', 'allies', 'important', 'take', 'advantage', 'u']"
60,False,"['anybody', 'favorite', 'president', 'donald', 'j', 'trump', 'announced', 'decimating', 'isis', 'syria', 'going', 'bring', 'troops', 'back', 'home', 'happy', 'amp', 'healthy', 'person', 'would', 'popular', 'hero', 'america', 'hit', 'hard', 'instead', 'fake', 'news', 'media', 'crazy']"
61,False,"['brett', 'mcgurk', 'know', 'appointed', 'president', 'obama', '2015', 'supposed', 'leave', 'february', 'resigned', 'prior', 'leaving', 'grandstander', 'fake', 'news', 'making', 'big', 'deal', 'nothing', 'event']"
62,False,"['going', 'florida', 'shutdown', 'staying', 'white', 'house', 'maga']"
63,False,"['senate', 'adjourns', 'december', '27th']"
64,False,"['election', 'said', 'one', 'greatest', 'time', 'based', 'getting', 'endless', 'amp', 'costly', 'foreign', 'wars', 'amp', 'also', 'based', 'strong', 'borders', 'keep', 'country', 'safe', 'fight', 'borders', 'countries', 'fight', 'borders']"
65,False,"['crisis', 'illegal', 'activity', 'southern', 'border', 'real', 'stop', 'build', 'great', 'steel', 'barrier', 'wall', 'let', 'work', 'begin']"
66,False,"['lunch', 'white', 'house', 'residence', 'large', 'group', 'concerning', 'border', 'security']"
67,False,"['going', 'three', 'months', 'seven', 'years', 'ago', 'never', 'left', 'became', 'president', 'isis', 'going', 'wild', 'isis', 'largely', 'defeated', 'local', 'countries', 'including', 'turkey', 'able', 'easily', 'take', 'care', 'whatever', 'remains', 'coming', 'home']"
68,False,"['white', 'house', 'working', 'hard', 'news', 'reports', 'concerning', 'shutdown', 'syria', 'mostly', 'fake', 'negotiating', 'democrats', 'desperately', 'needed', 'border', 'security', 'gangs', 'drugs', 'human', 'trafficking', 'amp', 'could', 'long', 'stay', 'syria', 'originally']"
69,True,"['rt', 'great', 'country', 'must', 'border', 'security']"
70,False,"['great', 'country', 'must', 'border', 'security']"
71,False,"['wishing', 'supreme', 'court', 'justice', 'ruth', 'bader', 'ginsburg', 'full', 'speedy', 'recovery']"
72,False,"['many', 'bills', 'signing', 'oval', 'office', 'right', 'cancelled', 'trip', 'air', 'force', 'one', 'florida', 'wait', 'see', 'democrats', 'help', 'us', 'protect', 'america', 'southern', 'border']"
73,False,"['design', 'steel', 'slat', 'barrier', 'totally', 'effective', 'time', 'beautiful']"
74,False,"['today', 'honor', 'sign', 'law', 'h', 'r', '7213', 'countering', 'weapons', 'mass', 'destruction', 'act', '2018', 'act', 'redesignates', 'domestic', 'nuclear', 'detection', 'office', 'countering', 'weapons', 'mass', 'destruction', 'office', 'read']"
75,False,"['today', 'great', 'honor', 'sign', 'firststepact', 'monumental', 'bi', 'partisan', 'win', 'american', 'people']"
76,False,"['done', 'damage', 'isis', 'recent', 'presidents', 'even', 'close']"
77,False,"['democrats', 'shutdown']"
78,False,"['general', 'anthony', 'tata', 'author', 'dark', 'winter', 'think', 'president', 'making', 'exact', 'right', 'move', 'syria', 'geniuses', 'protesting', 'withdrawal', 'troops', 'syria', 'geniuses', 'cooked', 'books', 'isis', 'intelligence', 'gave', 'rise', 'isis']"
79,False,"['never', 'president', 'tougher', 'fair', 'china', 'russia', 'never', 'look', 'facts', 'fake', 'news', 'tries', 'hard', 'paint', 'opposite', 'picture']"
80,False,"['thank', 'willing', 'go', 'called', 'nuclear', 'option', 'order', 'win', 'desperately', 'needed', 'border', 'security', 'total', 'support']"
81,False,"['mitch', 'use', 'nuclear', 'option', 'get', 'done', 'country', 'counting']"
82,False,"['even', 'president', 'ronald', 'reagan', 'tried', '8', 'years', 'build', 'border', 'wall', 'fence', 'unable', 'others', 'also', 'tried', 'get', 'done', 'one', 'way']"
83,False,"['shutdown', 'today', 'democrats', 'vote', 'border', 'security']"
84,False,"['house', 'republican', 'vote', '217', '185']"
85,False,"['democrats', 'whose', 'votes', 'need', 'senate', 'probably', 'vote', 'border', 'security', 'wall', 'even', 'though', 'know', 'desperately', 'needed', 'dems', 'vote', 'shutdown', 'last', 'long', 'time', 'people', 'want', 'open', 'borders', 'crime']"
86,False,"['matter', 'happens', 'today', 'senate', 'republican', 'house', 'members', 'proud', 'flew', 'back', 'washington', 'parts', 'world', 'order', 'vote', 'border', 'security', 'wall', 'one', 'democrat', 'voted', 'yes', 'big', 'proud']"
87,False,"['border', 'effective', 'conjunction', 'wall', 'properly', 'designed', 'built', 'walls', 'work', 'democrats', 'lying', 'say', 'israel', 'wall', '99', '9', 'successful', 'different', 'southern', 'border', 'hundreds', 'billions', 'saved']"
88,False,"['democrats', 'trying', 'belittle', 'concept', 'wall', 'calling', 'old', 'fashioned', 'fact', 'nothing', 'else', 'work', 'true', 'thousands', 'years', 'like', 'wheel', 'nothing', 'better', 'know', 'tech', 'better', 'anyone', 'amp', 'technology']"
89,False,"['senator', 'mitch', 'mcconnell', 'fight', 'wall', 'border', 'security', 'hard', 'fought', 'anything', 'need', 'democrat', 'votes', 'shown', 'house', 'good', 'things', 'happen', 'enough', 'dems', 'vote', 'democrat', 'shutdown', 'house', 'republicans', 'great', 'yesterday']"
90,False,"['soon', 'speaker', 'nancy', 'pelosi', 'said', 'last', 'week', 'live', 'oval', 'office', 'republicans', 'votes', 'border', 'security', 'today', 'house', 'republicans', 'voted', '217', '185', 'nancy', 'apologize', 'want', 'great', 'border', 'security']"
91,False,"['thank', 'great', 'republican', 'members', 'congress', 'vote', 'fund', 'border', 'security', 'wall', 'final', 'numbers', '217', '185', 'many', 'said', 'enthusiasm', 'greater', 'ever', 'seen', 'proud', 'senate']"
92,False,"['general', 'jim', 'mattis', 'retiring', 'distinction', 'end', 'february', 'served', 'administration', 'secretary', 'defense', 'past', 'two', 'years', 'jim', 'tenure', 'tremendous', 'progress', 'made', 'especially', 'respect', 'purchase', 'new', 'fighting']"
93,False,"['equipment', 'general', 'mattis', 'great', 'help', 'getting', 'allies', 'countries', 'pay', 'share', 'military', 'obligations', 'new', 'secretary', 'defense', 'named', 'shortly', 'greatly', 'thank', 'jim', 'service']"
94,False,"['democrats', 'time', 'come', 'together', 'put', 'safety', 'american', 'people', 'politics', 'border', 'security', 'must', 'become', '1', 'priority']"
95,False,"['farm', 'bill', 'signing', '15', 'minutes', 'emmys', 'tbt']"
96,False,"['hard', 'believe', 'lindsey', 'graham', 'would', 'saving', 'soldier', 'lives', 'amp', 'billions', 'fighting', 'enemy', 'syria', 'staying', 'amp', 'killing', 'isis', 'russia', 'iran', 'amp', 'locals', 'time', 'focus', 'country', 'amp', 'bring', 'youth', 'back', 'home', 'belong']"
97,False,"['congress', 'passed', 'criminal', 'justice', 'reform', 'bill', 'known', 'firststepact', 'congratulations', 'great', 'bi', 'partisan', 'achievement', 'everybody', 'parties', 'work', 'together', 'keep', 'country', 'safer', 'wonderful', 'thing', 'u']"
98,False,"['begrudgingly', 'signed', 'omnibus', 'bill', 'promised', 'wall', 'border', 'security', 'leadership', 'would', 'done', 'end', 'year', 'happen', 'foolishly', 'fight', 'border', 'security', 'countries', 'beloved', 'u', 'good']"
99,True,"['rt', 'historic', 'victories', 'isis', 'time', 'bring', 'great', 'young', 'people', 'home']"
100,False,"['much', 'talk', 'wall', 'people', 'losing', 'sight', 'great', 'job', 'done', 'southern', 'border', 'border', 'patrol', 'ice', 'great', 'military', 'remember', 'caravans', 'well', 'get', 'none', 'forming', 'way', 'border', 'tight', 'fake', 'news', 'silent']"
101,False,"['democrats', 'know', 'steel', 'slats', 'wall', 'necessary', 'border', 'security', 'putting', 'politics', 'country', 'beginning', 'realize', 'sign', 'legislation', 'including', 'infrastructure', 'unless', 'perfect', 'border', 'security', 'u', 'wins']"
102,False,"['russia', 'iran', 'syria', 'amp', 'many', 'others', 'happy', 'u', 'leaving', 'despite', 'fake', 'news', 'says', 'fight', 'isis', 'others', 'hate', 'without', 'us', 'building', 'far', 'powerful', 'military', 'world', 'isis', 'hits', 'us', 'doomed']"
103,False,"['usa', 'want', 'policeman', 'middle', 'east', 'getting', 'nothing', 'spending', 'precious', 'lives', 'trillions', 'dollars', 'protecting', 'others', 'almost', 'cases', 'appreciate', 'want', 'forever', 'time', 'others', 'finally', 'fight']"
104,False,"['getting', 'syria', 'surprise', 'campaigning', 'years', 'six', 'months', 'ago', 'publicly', 'wanted', 'agreed', 'stay', 'longer', 'russia', 'iran', 'syria', 'amp', 'others', 'local', 'enemy', 'isis', 'work', 'time', 'come', 'home', 'amp', 'rebuild', 'maga']"
105,False,"['proud', 'president', 'today', 'hear', 'declaring', 'victory', 'syria', 'senator', 'rand', 'paul', 'agree', 'presidents', 'decision', 'definition', 'opposite', 'obama', 'decision', 'senator', 'mike', 'lee']"
106,False,"['trump', 'gets', 'credit', 'done', 'middle', 'east', 'true', 'thank', 'laura']"
107,False,"['col', 'jim', 'carafano', 'trump', 'made', 'middle', 'east', 'better', 'place', 'trump', 'came', 'office', 'isis', 'running', 'amuck', 'middle', 'east', 'million', 'refugees', 'poured', 'western', 'europe', 'none', 'happening', 'today', 'due', 'trump']"
108,True,"['rt', 'took', 'british', 'court', 'reveal', 'shocking', 'evidence', 'real', 'russian', 'collusion']"
109,False,"['historic', 'victories', 'isis', 'time', 'bring', 'great', 'young', 'people', 'home']"
110,False,"['event', 'goes', 'amp', 'new', 'ag', 'replaced', 'yet', 'another', 'ag', 'openly', 'campaigned', 'get', 'trump', 'agenda', 'little', 'else', 'rant', 'rave', 'amp', 'politic', 'never', 'treated', 'fairly', 'people', 'total', 'double', 'standard', 'justice']"
111,False,"['sleazebag', 'ag', 'eric', 'schneiderman', 'since', 'resigned', 'horrific', 'women', 'abuse', 'wanted', 'close', 'foundation', 'conflict', 'politics', 'shady', 'eric', 'head', 'new', 'yorkers', 'clinton', 'refused', 'even', 'look', 'corrupt', 'clinton', 'foundation']"
112,False,"['trump', 'foundation', 'done', 'great', 'work', 'given', 'away', 'lots', 'money', 'mine', 'others', 'great', 'charities', 'years', 'taking', 'fees', 'rent', 'salaries', 'etc', 'usual', 'getting', 'slammed', 'cuomo', 'dems', 'long', 'running', 'civil', 'lawsuit', 'started']"
113,False,"['defeated', 'isis', 'syria', 'reason', 'trump', 'presidency']"
114,False,"['mexico', 'paying', 'indirectly', 'wall', 'new', 'usmca', 'replacement', 'nafta', 'far', 'money', 'coming', 'u', 'tremendous', 'dangers', 'border', 'including', 'large', 'scale', 'criminal', 'drug', 'inflow', 'united', 'states', 'military', 'build', 'wall']"
115,False,"['country', 'much', 'money', 'poured', 'drain', 'many', 'years', 'comes', 'border', 'security', 'military', 'democrats', 'fight', 'death', 'military', 'completely', 'rebuilt', 'one', 'way', 'win', 'wall']"
116,False,"['country', 'much', 'money', 'poured', 'drain', 'many', 'years', 'democrats', 'fight', 'us', 'like', 'cats', 'dogs', 'comes', 'spending', 'boarder', 'security', 'including', 'wall', 'military', 'military', 'completely', 'rebuilt', 'win']"
117,False,"['keep', 'communities', 'safer', 'provide', 'hope', 'second', 'chance', 'earn', 'addition', 'everything', 'else', 'billions', 'dollars', 'saved', 'look', 'forward', 'signing', 'law']"
118,False,"['america', 'greatest', 'country', 'world', 'job', 'fight', 'citizens', 'even', 'made', 'mistakes', 'congratulations', 'senate', 'bi', 'partisan', 'passing', 'historic', 'criminal', 'justice', 'reform', 'bill']"
